away_name,away_abbr,home_name,home_abbr,week,win_perc_dif,first_downs_dif,fumbles_dif,interceptions_dif,net_pass_yards_dif,pass_attempts_dif,pass_completions_dif,pass_touchdowns_dif,pass_yards_dif,penalties_dif,points_dif,rush_attempts_dif,rush_touchdowns_dif,rush_yards_dif,time_of_possession_dif,times_sacked_dif,total_yards_dif,turnovers_dif,yards_from_penalties_dif,yards_lost_from_sacks_dif,fourth_down_perc_dif,third_down_perc_dif,result,year,Unnamed: 0_x,Unnamed: 0_y,quality,importance,total_rating,elo_dif,qb_dif
Kansas City Chiefs,kan,Indianapolis Colts,clt,3,1.0,0.4743083003952577,-1.940711462450593,-2.130434782608696,22.02371541501978,-2.604743083003953,2.679841897233203,2.383399209486166,5.830039525691689,-0.687747035573123,0.9209486166007927,-3.4150197628458514,-0.1620553359683794,-4.932806324110672,-51.99604743083023,-2.9683794466403164,17.090909090909065,-2.292490118577075,-9.561264822134383,-16.193675889328063,1.0,0.0845238095238095,0.0,2022,,,75,54,65,166.9459734438601,184.3610644385746
Buffalo Bills,buf,Miami Dolphins,mia,3,0.0,0.5,0.7777777777777777,0.7777777777777777,-57.166666666666686,-9.5,-3.5,-0.3888888888888888,-70.27777777777777,-0.666666666666667,-12.833333333333334,4.388888888888889,0.8888888888888888,43.27777777777777,-142.27777777777783,-0.1111111111111111,-13.888888888888914,2.555555555555556,1.0555555555555571,-13.11111111111111,-0.3333333333333333,0.3079569892473117,0.0,2022,,,95,96,96,91.21643280398985,109.08753780492646
Detroit Lions,det,Minnesota Vikings,min,3,-0.2733333333333333,0.4733333333333327,0.2733333333333333,-0.06,-36.593333333333305,0.9866666666666646,-3.2266666666666666,1.2866666666666668,-29.70666666666668,0.3066666666666666,22.006666666666668,0.5933333333333337,1.32,71.26666666666667,-117.07333333333328,0.9533333333333334,34.67333333333329,-0.06,10.566666666666666,6.886666666666665,-0.717948717948718,0.1496212121212121,0.0,2022,,,36,71,54,-99.59441063042004,-23.531893039932072
Baltimore Ravens,rav,New England Patriots,nwe,3,-0.0557275541795665,0.7678018575851375,0.0526315789473684,-0.5294117647058824,43.59442724458202,-3.1609907120743017,-1.882352941176471,2.0,35.06191950464395,-2.2229102167182666,9.628482972136222,-3.619195046439629,0.0030959752321981,9.495356037151694,-265.1609907120742,-0.0061919504643962,53.08978328173379,-1.476780185758514,-19.758513931888547,-8.53250773993808,0.3333333333333333,-0.1566312071302419,1.0,2022,,,67,85,76,-22.074751749890083,62.37282732509402
Cincinnati Bengals,cin,New York Jets,nyj,3,-0.6521739130434783,6.275362318840582,-0.3333333333333332,2.318840579710145,-50.492753623188406,-2.536231884057969,-0.4782608695652186,-1.2898550724637678,-27.1159420289855,-2.304347826086956,-5.913043478260871,12.043478260869566,0.0,28.811594202898547,659.2173913043478,4.318840579710145,-21.681159420289816,1.985507246376812,-35.681159420289845,23.3768115942029,-0.4012158054711245,0.0454187609762006,1.0,2022,,,25,36,31,171.21596796012,21.208103688246382
Las Vegas Raiders,rai,Tennessee Titans,oti,3,0.0,2.4761904761904745,0.0952380952380949,0.6190476190476192,36.14285714285714,8.142857142857146,6.380952380952383,0.6666666666666667,52.0952380952381,-0.666666666666667,-0.8095238095238102,-8.76190476190476,-0.3333333333333333,-15.523809523809533,-85.23809523809541,1.809523809523809,20.619047619047592,-0.1428571428571428,-18.761904761904766,15.952380952380953,-0.5,0.2123758594346829,0.0,2022,,,34,49,42,-70.48784205626998,8.261402167412115
Philadelphia Eagles,phi,Washington Commanders,was,3,0.6666666666666667,4.166666666666664,-0.9166666666666666,-1.25,-61.0,-12.416666666666668,-10.333333333333332,-3.25,-78.5,6.5,1.333333333333332,15.250000000000004,3.166666666666667,124.58333333333334,-35.66666666666674,-2.5,63.583333333333314,-1.5833333333333337,28.58333333333333,-17.5,0.1666666666666666,0.0599999999999999,1.0,2022,,,62,83,73,89.6086009743899,50.207247640061155
Philadelphia Eagles,phi,Washington Commanders,was,8,0.6551490514905149,2.12669376693767,-0.6090785907859078,-0.43834688346883466,-26.023712737127397,-9.38821138211382,-5.952574525745256,-0.09823848238482391,-46.73712737127374,1.9220867208672079,-8.052168021680217,20.0609756097561,1.070460704607046,107.18766937669376,349.6571815718155,-2.77710027100271,81.16395663956644,-1.1463414634146343,13.897018970189706,-20.71341463414634,0.2765853658536585,0.08713600534508409,1.0,2023,606.0,783.6666666666666,62,83,73,89.6086009743899,50.207247640061155
Jacksonville Jaguars,jax,Los Angeles Chargers,sdg,3,0.4921052631578947,1.5236842105263158,0.1921052631578947,-0.4921052631578947,-74.82894736842104,-11.589473684210525,-7.244736842105265,-1.35,-76.31578947368422,3.1842105263157894,-15.936842105263157,5.244736842105265,1.0,30.292105263157893,40.46315789473692,-0.9842105263157894,-44.53684210526319,-0.4921052631578947,19.481578947368423,-1.4868421052631575,-0.390006489292667,0.0259796492747347,1.0,2022,,,46,55,51,-123.93224182252993,-104.10326587137806
Los Angeles Rams,ram,Arizona Cardinals,crd,3,-0.0666666666666667,-1.333333333333332,-0.8,2.2666666666666666,2.5999999999999943,-3.066666666666663,1.5333333333333314,0.0666666666666666,16.866666666666646,-4.133333333333333,-5.933333333333334,-3.7333333333333303,-1.0666666666666669,-62.66666666666666,-24.933333333333167,2.8,-60.06666666666666,2.6,-37.06666666666667,14.266666666666666,-0.1103896103896103,0.2580645161290322,1.0,2022,,,60,88,74,83.47739248731,-12.541501785526549
