away_name,away_abbr,home_name,home_abbr,week,Unnamed: 0_x,Unnamed: 0_y,win_perc_dif,first_downs_dif,fumbles_dif,interceptions_dif,net_pass_yards_dif,pass_attempts_dif,pass_completions_dif,pass_touchdowns_dif,pass_yards_dif,penalties_dif,points_dif,rush_attempts_dif,rush_touchdowns_dif,rush_yards_dif,time_of_possession_dif,times_sacked_dif,total_yards_dif,turnovers_dif,yards_from_penalties_dif,yards_lost_from_sacks_dif,fourth_down_perc_dif,third_down_perc_dif,result,year
Chicago Bears,chi,New Orleans Saints,nor,9,782.0222222222222,678.3095238095239,-0.17638888888888887,2.905555555555555,0.2763888888888889,0.3847222222222223,24.66388888888889,-2.9430555555555564,-2.8722222222222236,1.6055555555555556,28.173611111111114,-1.4777777777777779,12.334722222222222,0.8972222222222221,0.061111111111111116,52.05833333333332,-59.04722222222222,0.5861111111111112,76.72222222222223,0.2402777777777778,-18.52361111111111,3.509722222222223,-0.1884961884961886,0.07421289355322347,0.0,2023
Washington Commanders,was,New England Patriots,nwe,9,783.6666666666666,780.3448275862069,-0.0029761904761904656,6.08779761904762,0.34226190476190466,0.17559523809523814,55.08928571428572,5.188988095238095,7.15029761904762,0.3883928571428572,78.80505952380952,-1.53125,7.541666666666664,-7.96279761904762,0.5029761904761905,-13.03720238095238,207.52678571428578,4.002976190476191,42.052083333333314,0.40029761904761907,-8.85565476190476,23.71577380952381,0.25874125874125875,0.06595900737541255,1.0,2023
Seattle Seahawks,sea,Baltimore Ravens,rav,9,496.3181818181818,644.7291666666666,0.13411764705882345,4.105098039215687,-1.88,0.10666666666666669,69.8227450980392,8.422745098039218,6.120000000000001,0.48078431372549013,71.91764705882355,1.8070588235294123,11.920784313725491,-7.334117647058825,-0.20470588235294107,-45.42980392156862,-63.785098039215654,-1.0674509803921568,24.39294117647063,-0.8133333333333332,13.356862745098042,2.0949019607843145,0.4731457800511509,-0.10746577366295673,0.0,2023
Indianapolis Colts,clt,Carolina Panthers,car,9,642.7169811320755,668.6304347826087,0.5148809523809523,-2.2351190476190474,-0.19940476190476186,-0.7202380952380953,31.214285714285722,-5.648809523809518,-2.854166666666668,-0.25297619047619047,15.92559523809524,-1.1815476190476186,-4.345238095238095,2.4642857142857153,1.336309523809524,24.008928571428584,-297.28869047619037,-0.5803571428571428,55.22321428571428,-0.8392857142857142,-15.57440476190476,-15.288690476190474,-0.1761115954664342,-0.015429863348072281,1.0,2023
Dallas Cowboys,dal,Philadelphia Eagles,phi,9,742.5,606.0,-0.322972972972973,-1.3675675675675691,0.06216216216216219,-0.1837837837837838,2.8216216216216026,4.378378378378379,3.7054054054054077,0.02972972972972987,3.7391891891892044,1.3297297297297295,-8.012162162162163,-5.304054054054056,-1.2067567567567568,-48.40675675675675,-97.31081081081084,-0.8500000000000001,-45.58513513513515,-0.277027027027027,10.801351351351357,0.9175675675675699,-0.5228758169934641,0.03751754485793407,0.0,2023
New York Giants,nyg,Las Vegas Raiders,rai,9,730.3142857142857,521.5172413793103,-0.03947368421052633,-2.21875,-0.48190789473684215,-0.9243421052631579,-27.91282894736841,3.2171052631578974,2.7746710526315788,-0.6726973684210527,-21.77302631578948,1.2664473684210522,0.5444078947368425,1.5032894736842088,0.4407894736842105,12.786184210526315,158.75822368421063,2.1875,-15.12664473684211,-1.5427631578947367,-4.1069078947368425,6.139802631578949,-0.20842572062084264,-0.01469544009138335,0.0,2023
Buffalo Bills,buf,Cincinnati Bengals,cin,9,785.8163265306123,525.170731707317,0.5022361359570662,7.983005366726298,0.06529516994633267,0.011627906976744207,127.31529516994635,-2.890876565295173,2.6668157423971373,1.5143112701252235,116.32066189624325,1.8000894454382825,-8.001788908765654,7.4409660107334545,1.5881037567084078,40.416815742397134,232.83005366726297,-0.815742397137746,167.73211091234347,0.13327370304114494,20.89490161001789,-10.994633273703041,0.3925654745142212,0.1417045491182255,0.0,2023
Los Angeles Chargers,sdg,New York Jets,nyj,9,595.5357142857143,766.2857142857143,0.21178120617110796,7.6255259467040695,-0.12482468443197758,-0.6115007012622721,143.8709677419355,7.1416549789621335,10.8218793828892,1.8765778401122022,137.8611500701262,1.631136044880786,5.2496493688639525,2.3211781206171125,0.13323983169705467,-2.3520336605890577,84.36325385694249,-1.1206171107994392,141.51893408134643,-0.8218793828892005,26.481065918653577,-6.009817671809259,0.09999999999999998,0.17302605107483157,1.0,2023
Carolina Panthers,car,Chicago Bears,chi,10,668.6304347826087,782.0222222222222,-0.2857142857142857,1.8775510204081662,0.40816326530612246,0.1428571428571429,-42.51020408163265,8.04081632653061,4.632653061224488,-1.306122448979592,-38.83673469387753,1.7346938775510203,0.28571428571428825,-1.5102040816326507,-0.2653061224489796,-37.32653061224491,213.1428571428571,-0.8775510204081631,-79.83673469387753,0.4285714285714286,10.816326530612244,3.6734693877551017,-0.06658755274261596,-0.02670297254368048,0.0,2023
Indianapolis Colts,clt,New England Patriots,nwe,10,642.7169811320755,780.3448275862069,0.240829346092504,3.516746411483254,0.40829346092503993,-0.74481658692185,20.476874003189806,-1.7958532695374814,0.8452950558213743,0.04784688995215314,20.889952153110045,0.7145135566188197,-0.4848484848484844,3.1068580542264748,1.244019138755981,36.526315789473685,91.11961722488036,0.696969696969697,57.00318979266348,-0.6618819776714513,4.853269537480067,0.41307814992025627,0.058058058058058054,0.07413753353454061,1.0,2023
Houston Texans,htx,Cincinnati Bengals,cin,10,688.8679245283018,525.170731707317,0.18344155844155843,4.024350649350648,0.625,-0.45941558441558444,104.84740259740263,-0.10227272727272663,-0.25,0.4837662337662336,106.67694805194807,1.9772727272727275,-3.71590909090909,7.0762987012987,0.18181818181818182,6.980519480519476,104.11363636363626,0.08441558441558428,111.8279220779221,-0.24837662337662336,22.85551948051948,1.8295454545454533,0.2055335968379447,0.08579599060058946,1.0,2023
San Francisco 49ers,sfo,Jacksonville Jaguars,jax,10,540.4594594594595,670.968253968254,0.2583333333333334,3.1515151515151523,-0.9553030303030303,-0.2840909090909091,14.768939393939405,-4.978030303030305,-3.546212121212122,0.5893939393939394,10.870454545454521,2.5181818181818185,-6.287878787878789,3.4553030303030283,0.5446969696969697,32.139393939393926,124.41060606060591,-0.5553030303030302,46.9083333333333,-0.9189393939393941,28.818939393939388,-3.8984848484848484,0.5865384615384615,0.11454084825571104,1.0,2023
New Orleans Saints,nor,Minnesota Vikings,min,10,678.3095238095239,552.9814814814815,0.20689655172413796,-3.2323838080959497,-1.2466266866566715,-0.3448275862068966,-80.20014992503746,-4.9775112443778085,-4.235382308845576,-1.6851574212893552,-75.86056971514245,2.586206896551724,-7.827586206896552,9.235382308845576,0.31334332833583206,11.518740629685155,285.0929535232385,0.8035982008995504,-68.6814092953523,-1.524737631184408,35.76086956521739,4.3395802098950504,-0.04540196645459815,-0.03489370231419142,0.0,2023
Green Bay Packers,gnb,Pittsburgh Steelers,pit,10,595.3653846153846,718.0666666666667,-0.012121212121212088,2.2969696969696987,0.2848484848484848,-0.06060606060606066,22.315151515151513,-1.3151515151515127,-2.7696969696969695,1.0121212121212122,20.169696969696957,2.921212121212122,1.1151515151515135,-0.581818181818182,0.5696969696969697,-8.830303030303028,-10.187878787878844,-1.0,13.484848484848442,-0.2666666666666667,16.048484848484847,-2.1454545454545446,0.1837474120082816,0.016372371733503532,0.0,2023
Cleveland Browns,cle,Baltimore Ravens,rav,10,535.4146341463414,644.7291666666666,-0.00042735042735042583,-0.9119658119658105,0.002991452991452981,0.8730769230769231,-22.1991452991453,4.435897435897434,0.529059829059829,0.028205128205128105,-11.23675213675213,-0.5773504273504271,-3.6965811965811977,-0.5089743589743634,-0.9884615384615385,-20.337179487179498,211.71367521367506,0.6260683760683761,-42.53632478632477,0.5871794871794871,-13.037179487179486,10.962393162393164,0.4918300653594772,-0.13519840553937618,1.0,2023
Tennessee Titans,oti,Tampa Bay Buccaneers,tam,10,654.9433962264151,479.46666666666664,-0.5199579831932772,-1.9716386554621845,-0.08613445378151252,0.5934873949579831,-50.573529411764696,-4.730042016806724,-5.321428571428573,-1.370798319327731,-31.029411764705884,-0.3329831932773111,3.821428571428573,-7.203781512605044,0.38445378151260506,4.588235294117652,-103.55672268907574,2.547268907563025,-45.98529411764707,0.5115546218487395,5.193277310924373,19.544117647058822,-0.29807692307692324,-0.10803490059742804,0.0,2023
Atlanta Falcons,atl,Arizona Cardinals,crd,10,613.7183098591549,646.9655172413793,0.42181818181818187,1.5830303030303021,0.0121212121212122,0.13818181818181818,22.49818181818182,0.7175757575757586,0.6060606060606055,-0.15636363636363637,33.56,-1.752727272727273,-6.91030303030303,3.4036363636363625,-0.16969696969696968,-13.24242424242425,156.03878787878807,1.1321212121212123,9.25575757575757,0.18424242424242432,-10.152727272727269,11.06181818181818,0.3222222222222222,0.006789047277202365,0.0,2023
Detroit Lions,det,Los Angeles Chargers,sdg,10,608.7058823529412,595.5357142857143,0.28565140845070425,0.6404049295774641,-0.6720950704225352,0.3697183098591549,-49.621478873239425,-6.236795774647888,-5.619718309859156,-0.661531690140845,-58.23767605633802,-0.576144366197183,-3.78961267605634,9.022447183098592,0.9370598591549295,51.13644366197184,316.7486795774648,-0.7649647887323943,1.5149647887324136,0.6175176056338028,3.4617077464788792,-8.616197183098592,-0.16643356643356644,0.021329343671927015,1.0,2023
New York Giants,nyg,Dallas Cowboys,dal,10,730.3142857142857,742.5,-0.41391941391941395,-7.428571428571427,-0.20879120879120872,0.22344322344322343,-60.87179487179489,-2.684981684981686,-3.1941391941391934,-0.945054945054945,-58.29304029304029,-1.2271062271062272,12.08058608058608,-10.293040293040292,0.271062271062271,-52.344322344322336,-367.95238095238074,1.8168498168498166,-113.2161172161172,0.16117216117216127,-10.487179487179482,2.5787545787545767,0.2608695652173913,-0.1721915285451197,0.0,2023
Washington Commanders,was,Seattle Seahawks,sea,10,783.6666666666666,496.3181818181818,-0.4821109123434705,-2.0026833631484777,1.2415026833631484,0.7710196779964221,-7.957066189624328,3.978533094812164,2.035778175313059,-0.11270125223613592,9.915026833631487,-3.5500894454382825,4.467799642218246,-6.910554561717355,-0.8023255813953488,-21.021466905187836,40.635062611806916,3.9740608228980325,-28.978533094812178,1.5393559928443652,-36.872093023255815,17.872093023255815,-0.3598484848484848,0.03723998100786635,0.0,2023
New York Jets,nyj,Las Vegas Raiders,rai,10,766.2857142857143,521.5172413793103,0.018939393939393978,-3.1931818181818183,0.5265151515151514,-0.8030303030303031,-40.996212121212125,3.05681818181818,-1.2765151515151523,-0.6022727272727273,-28.583333333333343,0.14393939393939448,-7.462121212121215,1.3143939393939412,0.12878787878787884,26.48106060606061,105.05303030303025,1.659090909090909,-14.51515151515153,-0.8636363636363638,-17.178030303030297,12.412878787878789,-0.19411764705882362,-0.15732758620689657,0.0,2023
Denver Broncos,den,Buffalo Bills,buf,10,724.0540540540541,785.8163265306123,-0.3481132075471698,-5.175943396226415,0.5400943396226415,-0.08443396226415095,-68.375,-2.0,-3.890566037735848,-0.5226415094339623,-59.302358490566064,0.9858490566037732,21.54764150943396,-5.705660377358491,-1.5226415094339623,-15.739622641509442,-241.0669811320754,1.0235849056603774,-84.11462264150941,0.594811320754717,-2.093867924528304,9.07264150943396,-0.2930800542740841,-0.10454529932042489,1.0,2023
Cincinnati Bengals,cin,Baltimore Ravens,rav,11,525.170731707317,644.7291666666666,-0.47589098532494756,-4.869601677148848,-1.470020964360587,0.15262054507337525,-21.923689727463312,8.912368972746332,3.10775681341719,0.14004192872117405,-20.27505241090148,-1.790775681341719,9.071278825995806,-13.619706498951778,-1.7035639412997905,-75.4104821802935,-217.84318658280927,-0.5371069182389934,-97.33417190775685,-0.6696016771488469,-27.68888888888889,1.6486373165618442,-0.07539682539682546,-0.09720704082017262,0.0,2023
Dallas Cowboys,dal,Carolina Panthers,car,11,742.5,668.6304347826087,0.6163636363636363,1.7436363636363623,-0.710909090909091,-0.4236363636363637,56.7381818181818,-3.3218181818181804,1.5381818181818154,0.26,46.02545454545455,-0.10727272727272741,-11.532727272727275,5.667272727272728,0.49636363636363634,27.752727272727284,71.3599999999999,-0.7781818181818183,84.49090909090904,-1.041818181818182,-4.2072727272727235,-10.712727272727275,-0.12444444444444447,0.09884559884559885,1.0,2023
Pittsburgh Steelers,pit,Cleveland Browns,cle,11,718.0666666666667,535.4146341463414,-0.30562659846547313,-4.491048593350385,-1.1687979539641944,-0.2544757033248082,2.453964194373384,1.723785166240404,1.0166240409207177,-0.30051150895140677,-0.3414322250639543,-1.421994884910485,11.632992327365729,-10.588235294117649,-0.6278772378516624,-44.57928388746802,-500.6202046035803,-0.03324808184143224,-42.12531969309458,-0.758312020460358,-5.68286445012788,-2.795396419437342,-0.5542635658914727,0.04195947202082173,0.0,2023
Chicago Bears,chi,Detroit Lions,det,11,782.0222222222222,608.7058823529412,-0.4994444444444444,-2.414999999999999,0.35277777777777775,0.3088888888888889,-18.419999999999987,-1.2983333333333356,-2.6688888888888904,0.895,-4.3799999999999955,-0.016111111111110965,7.031111111111112,-4.873333333333335,-1.3161111111111112,-0.23888888888888005,-218.0083333333332,2.357222222222222,-18.658888888888896,0.24555555555555553,-10.84833333333333,14.04,-0.020270270270270285,0.04719456298403668,0.0,2023
Los Angeles Chargers,sdg,Green Bay Packers,gnb,11,595.5357142857143,595.3653846153846,0.14015151515151514,4.070887445887447,0.30627705627705626,-0.6558441558441559,92.94859307359309,5.137987012987011,8.826839826839826,0.5297619047619049,89.96699134199136,-0.5762987012987013,0.5465367965367953,2.990259740259738,0.10930735930735924,15.56709956709956,104.80248917748918,-0.1287878787878789,108.51569264069263,-0.3582251082251082,3.8798701298701275,-2.9816017316017316,0.2337296620775971,-0.03047853471367551,0.0,2023
Arizona Cardinals,crd,Houston Texans,htx,11,646.9655172413793,688.8679245283018,-0.24458204334365322,-1.473168214654283,-0.05211558307533548,0.49432404540763675,-103.88338493292053,-6.2946336429308545,-3.0485036119711033,-0.6904024767801857,-108.44478844169248,0.5500515995872028,5.773477812177504,-0.6357069143446878,0.7192982456140351,53.601135190918455,-124.014447884417,0.029927760577915574,-50.28224974200202,0.7791537667698659,14.231682146542838,-4.561403508771932,-0.27577639751552796,-0.07603287969639039,0.0,2023
Tennessee Titans,oti,Jacksonville Jaguars,jax,11,654.9433962264151,670.968253968254,-0.35847080387536007,-4.839224927991619,-1.855721393034826,0.5145326001571091,-61.372348782403776,-6.623461639172557,-6.82063367373658,-0.5710919088766693,-51.04739460591779,1.4888714323121235,0.31578947368420884,-7.217334380727937,-0.34825870646766177,-24.09662215239591,-210.37182508510068,0.9591516103692066,-85.4689709347997,-0.45037968054464517,16.459544383346426,10.324954176485992,0.31773399014778325,-0.0484243078735519,0.0,2023
Las Vegas Raiders,rai,Miami Dolphins,mia,11,521.5172413793103,815.4634146341464,-0.35032679738562095,-6.7562091503267965,-0.8535947712418301,0.6843137254901961,-113.15555555555557,-3.49934640522876,-4.906535947712417,-1.38562091503268,-112.08366013071898,-1.3718954248366009,-2.0895424836601286,-5.7856209150326805,-2.136601307189543,-131.45555555555555,-219.37450980392168,0.08300653594771257,-244.6111111111111,0.7751633986928106,-10.820915032679743,1.0718954248366028,0.5937908496732025,-0.056157006829432476,0.0,2023
New York Giants,nyg,Washington Commanders,was,11,730.3142857142857,783.6666666666666,-0.11818181818181817,-6.497727272727273,-0.6613636363636365,-0.40454545454545454,-84.68181818181819,-7.695454545454545,-5.606818181818184,-0.9113636363636365,-99.57045454545457,1.8522727272727275,-2.4499999999999993,3.4022727272727273,0.09318181818181825,0.04772727272727195,-159.2409090909091,-1.4431818181818183,-84.63409090909093,-1.1659090909090908,12.372727272727275,-14.888636363636365,0.12698412698412698,-0.06775511571050608,1.0,2023
Tampa Bay Buccaneers,tam,San Francisco 49ers,sfo,11,479.46666666666664,540.4594594594595,-0.09825783972125435,-5.988153310104529,-0.7651567944250871,0.24947735191637632,-26.48013937282232,2.786759581881533,1.8083623693379813,0.17421602787456458,-31.409059233449454,-0.6522648083623697,2.956097560975609,-3.488501742160281,-1.275261324041812,-61.0,-231.96306620209066,-0.9470383275261325,-87.4801393728223,0.022299651567944223,-17.744947735191637,-4.928919860627177,0.08974358974358976,-0.05249120973623761,0.0,2023
New York Jets,nyj,Buffalo Bills,buf,11,766.2857142857143,785.8163265306123,-0.4051851851851852,-9.095555555555556,1.0503703703703704,0.3029629629629629,-128.75037037037038,-1.0118518518518513,-6.896296296296299,-2.1525925925925926,-109.50814814814817,-0.7207407407407409,3.4014814814814827,-4.888888888888889,-1.0696296296296295,-23.57777777777777,-232.0155555555557,2.156296296296296,-152.32814814814816,0.5911111111111111,-13.880740740740741,19.24222222222222,-0.04705882352941171,-0.30382848392036754,0.0,2023
Seattle Seahawks,sea,Los Angeles Rams,ram,11,496.3181818181818,803.48,0.3320561941251596,0.32950191570881415,-0.4725415070242657,-0.48659003831417624,-4.232439335887648,-3.8876117496807154,0.6768837803320551,0.4469987228607917,-3.4150702426564408,1.6232439335887605,3.88250319284802,-2.168582375478927,0.13409961685823757,-12.58620689655173,-187.89399744572165,-0.4393358876117499,-16.818646232439335,-0.4444444444444444,9.77266922094509,0.8173690932311608,0.11111111111111105,-0.10040197332358852,0.0,2023
Minnesota Vikings,min,Denver Broncos,den,11,552.9814814814815,724.0540540540541,-0.060768912773873474,1.8305084745762699,0.9797436957420422,0.4158743282348078,60.62339809838778,7.073170731707318,5.205870194295162,0.580405126085159,62.024390243902445,-2.401818933443572,-13.790822653989252,-3.2877221992558923,-0.029764365440264576,-20.22157916494419,-90.84249689954527,0.09714758164530801,40.401818933443565,1.1955353451839605,-14.711037618850767,1.4009921455146763,0.3119923554706163,-0.006916295639419756,0.0,2023
Philadelphia Eagles,phi,Kansas City Chiefs,kan,11,606.0,414.51428571428573,0.4095816464237517,3.524966261808366,-0.3616734143049932,-0.3137651821862347,-37.47840755735493,-8.553306342780022,-3.3724696356275317,-0.7361673414304992,-26.641025641025635,0.03508771929824572,8.003373819163293,13.382591093117405,1.4298245614035088,76.56072874493928,332.4797570850203,2.3333333333333335,39.08232118758434,-0.7179487179487178,-2.8717948717948687,10.837381916329285,0.2297169811320755,0.05336962415456187,1.0,2023
Green Bay Packers,gnb,Detroit Lions,det,12,595.3653846153846,608.7058823529412,-0.4359528959384763,-4.557077625570777,0.36121124729632303,0.26844508531602973,-41.714251381879336,1.2086037010334039,-3.1165585195866363,0.17688055755827925,-30.47272290314828,1.0790675318433065,3.3568853640951666,-11.599134823359773,-1.0555155010814707,-66.43378995433791,-399.7712088440278,0.8521989906272529,-108.14804133621726,-0.28550829127613564,-7.460706560922858,11.241528478731075,-0.0676386913229019,0.01269090471800216,1.0,2023
Washington Commanders,was,Dallas Cowboys,dal,12,783.6666666666666,742.5,-0.34106280193236715,-1.2028985507246368,0.5748792270531401,0.6357487922705314,11.259903381642516,4.356521739130436,1.8859903381642518,-0.14396135265700494,30.171014492753642,-3.207729468599034,15.298550724637682,-13.266666666666666,0.03671497584541061,-50.1062801932367,-211.89661835748802,3.446376811594203,-38.84637681159421,1.3951690821256038,-25.063768115942025,18.91111111111111,0.1365217391304348,-0.10872507159866979,0.0,2023
San Francisco 49ers,sfo,Seattle Seahawks,sea,12,540.4594594594595,496.3181818181818,0.1428571428571429,0.35714285714285765,1.3571428571428572,-0.34523809523809523,-6.61904761904762,-6.13095238095238,-4.7023809523809526,0.25,-12.5,-0.9880952380952381,-13.666666666666664,8.821428571428573,0.13095238095238093,52.26190476190476,294.4404761904764,0.38095238095238093,45.64285714285717,-0.11904761904761901,-5.36904761904762,-5.880952380952381,-0.025341130604288442,0.14214691617095326,1.0,2023
Miami Dolphins,mia,New York Jets,nyj,12,815.4634146341464,766.2857142857143,0.38294314381270905,9.821070234113714,0.3946488294314381,0.050167224080267636,150.99498327759198,0.31270903010032924,6.100334448160535,1.9732441471571907,137.87959866220737,1.0434782608695654,8.441471571906355,5.023411371237458,1.9832775919732444,105.7056856187291,130.40301003344484,-1.7658862876254182,256.7006688963211,0.03177257525083621,24.969899665551843,-13.115384615384617,-0.41926910299003317,0.203906799652361,1.0,2023
New Orleans Saints,nor,Atlanta Falcons,atl,12,678.3095238095239,613.7183098591549,-0.07642777155655095,-3.086506159014558,-0.22480403135498328,-0.1128219484882419,12.466125419932808,3.1399776035834286,2.5422732362821954,0.22676371780515125,8.903695408734592,2.360862262038074,-3.2922732362821954,-2.812709966405375,-0.4753639417693169,-35.64053751399776,29.02575587905926,-0.037234042553191404,-23.174412094064962,-0.25895856662933925,14.393057110862259,-3.5624300111982095,0.17500000000000004,-0.027038489932400156,0.0,2023
Pittsburgh Steelers,pit,Cincinnati Bengals,cin,12,718.0666666666667,525.170731707317,0.18260869565217394,-0.5583850931677024,0.3285714285714286,0.41428571428571426,0.5577639751552681,-2.6559006211180076,-1.5428571428571445,-0.4527950310559006,6.575155279503122,-0.18012422360248426,-1.5490683229813662,2.7968944099378916,0.11304347826086958,13.471428571428575,-64.50434782608704,1.0695652173913044,14.029192546583829,0.46894409937888193,8.216770186335403,6.017391304347825,-0.002791068580542233,0.009107773739727154,1.0,2023
